ID,sex,group,fat_baseline,lean_baseline,fat_end,lean_end,change_in_fat,change_in_lean
MPX301,male,NR,2.57,23.65,7.3,23.16,4.72,-0.5
MPX302,male,NR,1.36,21.04,7.81,24.03,6.44,2.99
MPX303,male,IPR,1.63,22.8,9.05,23.97,7.42,1.17
MPX304,male,IPR,1.51,21.85,6.4,22.04,4.89,0.18
MPX305,male,PR,1.84,22.95,4.7,21.9,2.86,-1.05
MPX306,male,PR,1.96,23.02,3.93,23.85,1.97,0.83
MPX307,male,NR,1.84,23.35,6.75,23.48,4.92,0.14
MPX308,male,NR,1.44,24.04,9.17,24.4,7.73,0.35
MPX309,male,IPR,0.88,22.77,7.94,24.03,7.07,1.26
MPX310,male,IPR,2.06,21.43,7.13,23.5,5.07,2.07
MPX311,male,PR,3.33,22.89,4.36,22.54,1.03,-0.35
MPX312,male,PR,1.55,23.17,4.62,23.39,3.07,0.21
MPX313,male,NR,3.36,23.21,12.09,23.31,8.72,0.1
MPX314,male,NR,1.38,21.28,8.32,22.17,6.94,0.89
MPX315,male,IPR,1.45,23.56,8.76,23.69,7.31,0.14
MPX316,male,IPR,1.32,21.59,8.2,23.91,6.88,2.32
MPX317,male,PR,2.49,22.58,4.51,23.59,2.02,1.01
MPX318,male,PR,0.64,22.55,2.07,23.48,1.43,0.93
MPX319,male,NR,2.58,22.63,9.35,23.55,6.77,0.92
MPX320,male,NR,1.91,22.91,11.15,25.05,9.24,2.14
MPX321,male,IPR,1.88,23.52,8.66,24.01,6.78,0.49
MPX322,male,IPR,2.09,22.67,9.77,24.23,7.68,1.56
MPX323,male,PR,1.76,23.34,6,23.37,4.24,0.02
MPX324,male,PR,2.6,23.64,9.16,23.81,6.56,0.17
MPX325,male,NR,0.62,21.09,1.63,22.09,1.01,1
MPX326,male,NR,0.98,21.02,4.33,22.65,3.34,1.63
MPX327,male,IPR,1.91,22.44,10.29,24.42,8.38,1.98
MPX328,male,IPR,0.73,21.92,7.15,23.77,6.42,1.85
MPX329,male,PR,2.98,22.98,5.64,23.13,2.66,0.15
MPX330,male,PR,1.13,22.48,5.7,23.05,4.56,0.57
MPX331,male,NR,1.1,21.14,4.76,21.97,3.66,0.83
MPX332,male,NR,1.82,22.32,10.12,23.94,8.3,1.62
MPX333,male,IPR,2.14,23.47,8.67,23.67,6.54,0.2
MPX334,male,IPR,1.84,22.13,12.09,24.25,10.25,2.12
MPX335,male,PR,2.63,23.16,1.3,22.98,-1.33,-0.18
MPX336,male,PR,1.29,21.05,2.72,20.38,1.43,-0.67
MPX337,male,NR,2.23,22.53,10.91,24.6,8.68,2.07
MPX338,male,NR,1.2,23.56,8.06,24.57,6.86,1.01
MPX339,male,IPR,1.49,22.92,7.3,24.49,5.8,1.57
MPX340,male,IPR,0.99,23.6,10.15,25.51,9.16,1.91
MPX341,male,PR,1.32,21.75,3.25,22.63,1.93,0.89
MPX342,male,PR,0.55,21.59,2.08,21.42,1.54,-0.17
IPR01,female,PR,0.6,17.35,3.76,20.54,3.16,3.19
IPR02,female,PR,0.7,18.15,2.18,20.46,1.48,2.31
IPR03,female,IPR,1.94,17.4,7.26,19.95,5.32,2.55
IPR04,female,IPR,0.77,17.9,4.93,19.43,4.16,1.53
IPR05,female,IPR,0.69,15.07,1.44,17.7,0.75,2.63
IPR06,female,IPR,0.11,18.09,0.74,21.06,0.63,2.97
IPR07,female,NR,0.55,18.04,2.89,20.43,2.34,2.39
IPR08,female,NR,1.27,17.64,6.86,19.73,5.59,2.09
IPR09,female,NR,0.57,17.08,1.64,20.16,1.07,3.08
IPR10,female,NR,1.21,17.04,9.12,20.12,7.91,3.08
IPR11,female,NR,0.35,17.53,3.35,19.99,3.01,2.46
IPR12,female,NR,0.49,15.49,1.18,18.27,0.69,2.78
IPR13,female,IPR,0.74,17.83,3.83,20.53,3.09,2.71
IPR14,female,IPR,0.91,18.5,1.44,21.65,0.53,3.15
IPR15,female,NR,0.85,17.67,3.87,19.44,3.02,1.77
IPR16,female,NR,1.04,18.75,5.77,20.23,4.73,1.48
IPR17,female,PR,0.98,16.97,2.47,19.38,1.49,2.41
IPR18,female,PR,0.5,15.87,1.63,19.46,1.13,3.59
IPR19,female,NR,0.43,17.96,4.97,21.72,4.54,3.77
IPR20,female,NR,0.79,16.76,5.41,20.12,4.62,3.36
IPR21,female,IPR,0.42,17.85,2.8,21.52,2.38,3.67
IPR22,female,IPR,1.17,17.97,2.5,20.88,1.33,2.9
IPR23,female,PR,0.41,17.48,3.34,19.99,2.93,2.51
IPR24,female,PR,0.77,18.03,2.44,21.2,1.67,3.17
IPR25,female,IPR,0.76,16.53,3.24,18.79,2.48,2.26
IPR26,female,IPR,0.52,16.89,1.7,19.09,1.18,2.21
IPR27,female,NR,0.47,17.65,2.09,19.2,1.62,1.54
IPR28,female,NR,1.01,17.47,5.93,19.36,4.92,1.9
IPR29,female,PR,0.39,17.46,2.98,19.54,2.59,2.08
IPR30,female,PR,0.39,18.01,2.23,19.26,1.85,1.25
IPR31,female,IPR,0.53,17.31,7.16,21.14,6.63,3.83
IPR32,female,IPR,0.38,20.19,2.28,21.65,1.9,1.47
IPR33,female,PR,1.13,18.43,5.14,19.29,4.01,0.86
IPR34,female,PR,1.9,19.3,10.39,20.88,8.49,1.58
IPR35,female,PR,0.4,17.38,2.48,19.12,2.08,1.74
IPR36,female,PR,0.91,18.93,3.54,19.75,2.63,0.82
